INFO     lingkuan_1124.conftest:conftest.py:158 用例 test_vps/test_lianxi.py::TestVPSquery::TestVPSquerylog::test_query_source[\u5355\u8d26\u53f7\u64cd\u4f5c-\u6765\u6e90] 切换到 VPS URL: http://39.98.121.142/vps
DEBUG    urllib3.connectionpool:connectionpool.py:546 http://39.98.121.142:80 "POST /vps/subcontrol/eslog/queryLogsPage HTTP/11" 200 None
INFO     lingkuan_1124.commons.api_base:api_base.py:233 [2025-11-27 17:30:52] POST请求（JSON）: /subcontrol/eslog/queryLogsPage 
数据: {'page': 1, 'limit': 100, 'platformType': [], 'startDate': '2025-11-27 00:00:00', 'endDate': '2025-11-27 17:30:52', 'keywords': [], 'logInfo': [], 'cloudId': [], 'vpsId': [], 'source': ['单账号操作'], 'logType': []}
INFO     lingkuan_1124.commons.api_base:api_base.py:154 [2025-11-27 17:30:52] POST 请求纯耗时: 211.81ms | URL: /subcontrol/eslog/queryLogsPage
INFO     lingkuan_1124.commons.api_base:api_base.py:246 [2025-11-27 17:30:52] 请求后等待 1 秒
INFO     lingkuan_1124.test_vps.test_lianxi:test_lianxi.py:168 查询[单账号操作]，返回 100 条记录
INFO     root:api_base.py:1675 校验通过: 第 1 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 20 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 21 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 22 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 23 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 24 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 25 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 26 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 27 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 28 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 29 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 30 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 31 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 32 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 33 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 34 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 35 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 36 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 37 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 38 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 39 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 40 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 41 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 42 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 43 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 44 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 45 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 46 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 47 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 48 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 49 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 50 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 51 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 52 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 53 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 54 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 55 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 56 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 57 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 58 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 59 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 60 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 61 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 62 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 63 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 64 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 65 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 66 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 67 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 68 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 69 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 70 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 71 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 72 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 73 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 74 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 75 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 76 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 77 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 78 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 79 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 80 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 81 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 82 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 83 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 84 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 85 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 86 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 87 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 88 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 89 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 90 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 91 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 92 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 93 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 94 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 95 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 96 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 97 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 98 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 99 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
INFO     root:api_base.py:1675 校验通过: 第 100 条记录的source应为单账号操作，实际为单账号操作 | 实际: 单账号操作 | 操作: == | 预期: 单账号操作
