INFO     2025-09-16 09:15:43 [template.conftest;342]  : [2025-09-16 09:15:43] 测试会话开始: 2025-09-16 09:15:43, 测试组: cloud
ERROR    2025-09-16 09:16:24 [template.conftest;189]  : 第5次登录失败: HTTPSConnectionPool(host='dev.lgcopytrade.top', port=443): Max retries exceeded with url: /api/sys/randomImage/1757985384409?_t=1757985384 (Caused by ProxyError('Unable to connect to proxy', FileNotFoundError(2, 'No such file or directory')))
INFO     2025-09-16 09:16:24 [template.commons.api_base;510]  : [2025-09-16 09:16:24] 执行SQL: SELECT run_ip_addr,equity,equity_init,audit_by FROM bchain_trader WHERE account = %s ORDER BY create_time DESC 
参数: ('2088767545',)
INFO     2025-09-16 09:16:25 [template.commons.api_base;513]  : [2025-09-16 09:16:25] 查询成功，结果数量: 4
INFO     2025-09-16 09:16:25 [template.commons.api_base;525]  : [2025-09-16 09:16:25] 查询结果: [{"run_ip_addr": "", "equity": 4473516.1, "equity_init": 5000000.0, "audit_by": "xujunhao@163.com"}, {"run_ip_addr": "", "equity": 4449814.0, "equity_init": 5000000.0, "audit_by": "xujunhao@163.com"}, {"run_ip_addr": "39.103.138.2", "equity": 4466190.83, "equity_init": 5000000.0, "audit_by": "xujunhao@163.com"}, {"run_ip_addr": "", "equity": 4657435.08, "equity_init": 5000000.0, "audit_by": "xujunhao@163.com"}]
INFO     2025-09-16 09:16:25 [template.commons.variable_manager;111]  : [2025-09-16 09:15:43] 运行时变量已保存到: D:\pycharm_test\template\VAR\runtime_vars_cloud.json
INFO     2025-09-16 09:16:25 [template.commons.variable_manager;111]  : [2025-09-16 09:15:43] 运行时变量已保存到: D:\pycharm_test\template\VAR\runtime_vars_cloud.json
INFO     2025-09-16 09:16:25 [template.commons.variable_manager;111]  : [2025-09-16 09:15:43] 运行时变量已保存到: D:\pycharm_test\template\VAR\runtime_vars_cloud.json
INFO     2025-09-16 09:16:25 [template.commons.variable_manager;111]  : [2025-09-16 09:15:43] 运行时变量已保存到: D:\pycharm_test\template\VAR\runtime_vars_cloud.json
INFO     2025-09-16 09:16:25 [template.commons.api_base;510]  : [2025-09-16 09:16:25] 执行SQL: SELECT id,name FROM bchain_trader_broker WHERE name = %s ORDER BY create_time DESC 
参数: ('ACY',)
INFO     2025-09-16 09:16:25 [template.commons.api_base;513]  : [2025-09-16 09:16:25] 查询成功，结果数量: 1
INFO     2025-09-16 09:16:25 [template.commons.api_base;525]  : [2025-09-16 09:16:25] 查询结果: [{"id": "1913154951468470274", "name": "ACY"}]
INFO     2025-09-16 09:16:25 [template.commons.variable_manager;111]  : [2025-09-16 09:15:43] 运行时变量已保存到: D:\pycharm_test\template\VAR\runtime_vars_cloud.json
INFO     2025-09-16 09:16:25 [template.commons.variable_manager;111]  : [2025-09-16 09:15:43] 运行时变量已保存到: D:\pycharm_test\template\VAR\runtime_vars_cloud.json
INFO     2025-09-16 09:16:25 [template.conftest;369]  : [2025-09-16 09:15:43] 测试会话结束，总耗时: 42.00秒
INFO     2025-09-16 09:16:25 [template.commons.feishu_notification;131]  : [2025-09-16 09:15:43] 发送飞书消息，URL: https://open.feishu.cn/open-apis/bot/v2/hook/8d3475ac-8adc-45ed-97c7-0f0ec8647a4f
ERROR    2025-09-16 09:16:25 [template.commons.feishu_notification;151]  : [2025-09-16 09:15:43] [FEISHU] 发送通知异常: HTTPSConnectionPool(host='open.feishu.cn', port=443): Max retries exceeded with url: /open-apis/bot/v2/hook/8d3475ac-8adc-45ed-97c7-0f0ec8647a4f (Caused by ProxyError('Unable to connect to proxy', FileNotFoundError(2, 'No such file or directory')))
INFO     2025-09-16 09:16:25 [template.conftest;381]  : [2025-09-16 09:15:43] 飞书通知发送成功
